datetimeCST,AphA,Hz,PF,PhVphA,VA,Var,W,DCV,DCA,DCW,Hz_mod,mod_BIN
2024-02-23 00:00:00-06:00,0.0,59.978367346938775,1.0,0.0,0.0,0.0,0.0,89.06479591836735,173.8683673469388,56972.31720408163,59.978367346938775,0.0
2024-02-23 00:01:00-06:00,0.0,60.001639999999995,1.0,0.0,0.0,0.0,0.0,80.846,157.28400000000002,51538.03464,60.001639999999995,0.0
2024-02-23 00:02:00-06:00,0.0,60.00469387755102,1.0,0.0,0.0,0.0,0.0,102.29132653061225,200.6173469387755,65737.28908163265,60.00469387755102,0.0
2024-02-23 00:03:00-06:00,0.0,59.98836734693877,1.0,0.0,0.0,0.0,0.0,69.18061224489797,133.74489795918367,43824.8593877551,59.98836734693877,0.0
2024-02-23 00:04:00-06:00,0.0,59.97563999999999,1.0,0.0,0.0,0.0,0.0,106.82800000000002,209.71200000000002,68717.37952,59.97563999999999,0.0
2024-02-23 00:05:00-06:00,0.0,59.983061224489795,1.0,0.0,0.0,0.0,0.0,75.80867346938776,147.11938775510205,48207.345326530616,59.983061224489795,0.0
2024-02-23 00:06:00-06:00,0.0,59.98842857142857,1.0,0.0,0.0,0.0,0.0,108.94897959183673,213.9918367346939,70119.77502040815,59.98842857142857,0.0
2024-02-23 00:07:00-06:00,0.0,59.9954,1.0,0.0,0.0,0.0,0.0,67.855,131.07,42948.362199999996,59.9954,0.0
2024-02-23 00:08:00-06:00,0.0,60.005224489795914,1.0,0.0,0.0,0.0,0.0,115.57704081632654,227.36632653061227,74502.26095918367,60.005224489795914,0.0
2024-02-23 00:09:00-06:00,0.0,59.99824489795919,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,59.99824489795919,0.0
2024-02-23 00:10:00-06:00,0.0,59.98973469387755,1.0,0.0,0.0,0.0,0.0,128.80357142857142,254.11530612244897,83267.23283673469,59.98973469387755,0.0
2024-02-23 00:11:00-06:00,0.0,59.9896,1.0,0.0,0.0,0.0,0.0,61.3595,117.96300000000001,38653.52598,59.9896,0.0
2024-02-23 00:12:00-06:00,0.0,59.99887755102041,1.0,0.0,0.0,0.0,0.0,122.20510204081633,240.74081632653065,78884.74689795918,59.99887755102041,0.0
2024-02-23 00:13:00-06:00,0.0,59.996591836734694,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,59.996591836734694,0.0
2024-02-23 00:14:00-06:00,0.0,59.980199999999996,1.0,0.0,0.0,0.0,0.0,106.82800000000002,209.71200000000002,68717.37952,59.980199999999996,0.0
2024-02-23 00:15:00-06:00,0.0,60.00802040816327,1.0,0.0,0.0,0.0,0.0,69.18061224489796,133.74489795918367,43824.8593877551,60.00802040816327,0.0
2024-02-23 00:16:00-06:00,0.0,59.99724489795918,1.0,0.0,0.0,0.0,0.0,108.94897959183673,213.9918367346939,70119.77502040815,59.99724489795918,0.0
2024-02-23 00:17:00-06:00,0.0,59.98275510204081,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,59.98275510204081,0.0
2024-02-23 00:18:00-06:00,0.0,60.0054,1.0,0.0,0.0,0.0,0.0,119.819,235.92600000000002,77307.05196,60.0054,0.0
2024-02-23 00:19:00-06:00,0.0,59.9925306122449,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,59.9925306122449,0.0
2024-02-23 00:20:00-06:00,0.0,59.994020408163266,1.0,0.0,0.0,0.0,0.0,108.94897959183673,213.9918367346939,70119.77502040815,59.994020408163266,0.0
2024-02-23 00:21:00-06:00,0.0,59.9951,1.0,0.0,0.0,0.0,0.0,61.301500000000004,117.96300000000001,38653.52598,59.9951,0.0
