Stage,Data Points,Mean Hz,Std Hz,Min Hz,Max Hz
Raw Data,604800,27.746298925264558,29.913369620923476,0.0,60.04
After Interpolation,604800,27.785274024470905,29.916267485630705,0.0,60.04
Final Active Data,280091,59.99615751309396,0.01708470415516028,59.94,60.04
