percentile,threshold,fp_count,fp_rate
99.1,0.007909153606742615,2521,0.9001288958871143
99.2,0.00834178239107132,2241,0.8001542466017546
99.3,0.008742734361439955,1961,0.7001795973163948
99.4,0.00920629838481547,1681,0.6002049480310351
99.5,0.009838861227035534,1401,0.5002302987456752
99.6,0.010816202275454991,1121,0.40025564946031544
99.7,0.012090987702831556,841,0.3002810001749556
99.8,0.014347064495086477,561,0.20030635088959586
99.9,0.018240132257342903,281,0.10033170160423607
