datetimeCST,AphA,Hz,PF,PhVphA,VA,Var,W,DCV,DCA,DCW,Hz_mod,mod_BIN
2024-02-23 00:00:00-06:00,0.0,59.989732793522265,1.0,0.0,0.0,0.0,0.0,89.67611336032388,175.11376518218623,57380.40293927125,59.989732793522265,0.0
2024-02-23 00:05:00-06:00,0.0,59.99407723577236,1.0,0.0,0.0,0.0,0.0,84.75386178861788,165.16951219512197,54121.91984552846,59.99407723577236,0.0
2024-02-23 00:10:00-06:00,0.0,59.99095141700405,1.0,0.0,0.0,0.0,0.0,94.93562753036439,185.72672064777328,60858.0031174089,59.99095141700405,0.0
2024-02-23 00:15:00-06:00,0.0,59.99722357723577,1.0,0.0,0.0,0.0,0.0,82.11341463414635,159.84146341463415,52376.05146341463,59.99722357723577,0.0
2024-02-23 00:20:00-06:00,0.0,59.99080081300813,1.0,0.0,0.0,0.0,0.0,86.06229674796748,167.83353658536586,54994.85403658536,59.99080081300813,0.0
2024-02-23 00:25:00-06:00,0.0,59.98913821138211,1.0,0.0,0.0,0.0,0.0,86.07408536585366,167.83353658536586,54994.85403658536,59.98913821138211,0.0
2024-02-23 00:30:00-06:00,0.0,59.981483739837394,1.0,0.0,0.0,0.0,0.0,84.7479674796748,165.16951219512197,54121.91984552846,59.981483739837394,0.0
2024-02-23 00:35:00-06:00,0.0,59.98950406504065,1.0,0.0,0.0,0.0,0.0,91.35497967479675,178.48963414634147,58486.590800813006,59.98950406504065,0.0
2024-02-23 00:40:00-06:00,0.0,59.98265991902834,1.0,0.0,0.0,0.0,0.0,79.16295546558705,153.88785425101216,50425.202582995946,59.98265991902834,0.0
2024-02-23 00:45:00-06:00,0.0,60.00109756097561,1.0,0.0,0.0,0.0,0.0,91.35497967479675,178.48963414634147,58486.590800813006,60.00109756097561,0.0
2024-02-23 00:50:00-06:00,0.0,60.02016260162602,1.0,0.0,0.0,0.0,0.0,86.07408536585366,167.83353658536586,54994.85403658536,60.02016260162602,0.0
2024-02-23 00:55:00-06:00,0.0,60.00919512195122,1.0,0.0,0.0,0.0,0.0,83.4454268292683,157.17743902439025,51503.11727235772,60.00919512195122,0.0
2024-02-23 01:00:00-06:00,0.0,60.00510569105691,1.0,0.0,0.0,0.0,0.0,93.9954268292683,183.81768292682926,60232.459182926825,60.00510569105691,0.0
2024-02-23 01:05:00-06:00,0.0,59.99738056680162,1.0,0.0,0.0,0.0,0.0,81.78097165991903,159.19433198380565,52164.00267206478,59.99738056680162,0.0
2024-02-23 01:10:00-06:00,0.0,60.002252032520325,1.0,0.0,0.0,0.0,0.0,94.00721544715448,178.48963414634147,58486.590800813006,60.002252032520325,0.0
